step,loss,ma_20
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,6.819953282674153,1.1366588804456923
7,2.8890435241517567,1.3869995438322729
8,1.5204954806127047,1.4036865359298267
